NSN,Record_Type,Error_Code,Error_Description,Related_Key
1000001775,LEAR,E01,NSN malformed to 9 digits (was 1000001775),NSN=100001775
1000005645,LEAR,E01,NSN malformed to 9 digits (was 1000005645),NSN=100000565
1000004899,LEAR,E01,NSN malformed to 9 digits (was 1000004899),NSN=100004899
1000000935,LEAR,E01,NSN malformed to 9 digits (was 1000000935),NSN=100000935
1000002750,LEAR,E01,NSN malformed to 9 digits (was 1000002750),NSN=100002750
1000000226,LEAR,E01,NSN malformed to 9 digits (was 1000000226),NSN=100000226
1000006167,LEAR,E01,NSN malformed to 9 digits (was 1000006167),NSN=100006167
1000005379,LEAR,E01,NSN malformed to 9 digits (was 1000005379),NSN=000005379
1000001670,LEAR,E01,NSN malformed to 9 digits (was 1000001670),NSN=100001670
1000001618,LEAR,E01,NSN malformed to 9 digits (was 1000001618),NSN=100000168
1000003069,LEAR,E01,NSN malformed to 9 digits (was 1000003069),NSN=100003069
1000003320,LEAR,E01,NSN malformed to 9 digits (was 1000003320),NSN=100003320
1000006159,LEAR,E01,NSN malformed to 9 digits (was 1000006159),NSN=100000619
1000002025,LEAR,E01,NSN malformed to 9 digits (was 1000002025),NSN=100002025
1000005342,LEAR,E01,NSN malformed to 9 digits (was 1000005342),NSN=100005342
1000001220,LEAR,E02,Ethnicity blank/missing,
1000005428,LEAR,E02,Ethnicity blank/missing,
1000001308,LEAR,E02,Ethnicity blank/missing,
1000001695,LEAR,E02,Ethnicity blank/missing,
1000001935,LEAR,E02,Ethnicity blank/missing,
1000006446,LEAR,E02,Ethnicity blank/missing,
1000005717,LEAR,E02,Ethnicity blank/missing,
1000000596,LEAR,E02,Ethnicity blank/missing,
1000005281,LEAR,E02,Ethnicity blank/missing,
1000003626,LEAR,E02,Ethnicity blank/missing,
1000001786,LEAR,E02,Ethnicity blank/missing,
1000000358,LEAR,E02,Ethnicity blank/missing,
1000002173,LEAR,E02,Ethnicity blank/missing,
1000003894,LEAR,E02,Ethnicity blank/missing,
1000004273,LEAR,E02,Ethnicity blank/missing,
1000004729,LEAR,E02,Ethnicity blank/missing,
1000000708,LEAR,E02,Ethnicity blank/missing,
1000002683,LEAR,E02,Ethnicity blank/missing,
1000005278,LEAR,E02,Ethnicity blank/missing,
1000002927,LEAR,E02,Ethnicity blank/missing,
1000001166,LEAR,E03,DOB after reference date 2024-07-01: 2029-11-13,
1000005271,LEAR,E03,DOB after reference date 2024-07-01: 2029-04-03,
1000000556,LEAR,E03,DOB after reference date 2024-07-01: 2029-06-19,
1000001539,LEAR,E03,DOB after reference date 2024-07-01: 2026-05-20,
1000001178,LEAR,E03,DOB after reference date 2024-07-01: 2026-05-15,
1000006127,LEAR,E04,Student younger than 16 as at 2024-07-01 (DOB=2011-08-05),
1000005727,LEAR,E04,Student younger than 16 as at 2024-07-01 (DOB=2010-08-15),
1000004718,LEAR,E04,Student younger than 16 as at 2024-07-01 (DOB=2011-01-14),
1000003323,LEAR,E04,Student younger than 16 as at 2024-07-01 (DOB=2011-09-12),
1000006112,LEAR,E04,Student younger than 16 as at 2024-07-01 (DOB=2010-11-23),
1000005226,LEAR,E05,Gender blank/missing,
1000004094,LEAR,E05,Gender blank/missing,
1000006365,LEAR,E05,Gender blank/missing,
1000001857,LEAR,E05,Gender blank/missing,
1000003347,LEAR,E05,Gender blank/missing,
1000004354,LEAR,E05,Gender blank/missing,
1000000350,LEAR,E05,Gender blank/missing,
1000003045,LEAR,E05,Gender blank/missing,
1000005246,LEAR,E05,Gender blank/missing,
1000000147,LEAR,E05,Gender blank/missing,
1000005503,ENRL,E06,End_Date (2024-10-22) before Start_Date (2024-11-08),COMP301
1000004010,ENRL,E06,End_Date (2024-02-07) before Start_Date (2024-02-17),BUS301
1000002228,ENRL,E06,End_Date (2024-02-17) before Start_Date (2024-02-23),HIST201
1000002152,ENRL,E06,End_Date (2024-02-01) before Start_Date (2024-02-21),ACCT101
1000002939,ENRL,E06,End_Date (2024-06-28) before Start_Date (2024-07-10),PSYC101
1000004901,ENRL,E06,End_Date (2024-06-27) before Start_Date (2024-07-10),FDTN001
1000002427,ENRL,E06,End_Date (2024-02-02) before Start_Date (2024-02-23),MBA501
1000002893,ENRL,E06,End_Date (2024-02-02) before Start_Date (2024-02-18),BUS101
1000006360,ENRL,E06,End_Date (2024-06-21) before Start_Date (2024-07-06),HLTH201
1000006313,ENRL,E06,End_Date (2024-06-18) before Start_Date (2024-07-06),DATA201
1000004419,ENRL,E06,End_Date (2024-02-11) before Start_Date (2024-02-21),ECON201
1000003804,ENRL,E06,End_Date (2024-02-02) before Start_Date (2024-02-23),MBA501
1000000060,ENRL,E06,End_Date (2024-07-09) before Start_Date (2024-07-11),FDTN001
1000002924,ENRL,E06,End_Date (2024-02-15) before Start_Date (2024-02-18),ACCT101
1000000326,ENRL,E06,End_Date (2024-06-29) before Start_Date (2024-07-10),FDTN001
1000002778,ENRL,E06,End_Date (2024-06-07) before Start_Date (2024-07-06),COMP301
1000003354,ENRL,E06,End_Date (2024-02-11) before Start_Date (2024-02-17),COMP301
