NSN,Course_Code,Faculty,Academic_Year,Term,Start_Date,End_Date,EFTS,Funding_Code,Completion_Status,Delivery_Mode
1000000000,COMP301,Science & Technology,2024,T3,2024-11-12,2024-12-17,0.125,S03,Passed,On-campus
1000000001,EDUC301,Education,2024,T2,2024-07-06,2024-11-08,0.125,S02,Passed,Online
1000000001,PSYC101,Arts & Social Sciences,2024,T2,2024-07-06,2024-11-09,0.125,S03,Passed,Blended
1000000001,HLTH201,Health Sciences,2024,T2,2024-07-11,2024-11-05,0.125,S09,Passed,On-campus
1000000002,ENGI301,Science & Technology,2024,T2,2024-07-07,2024-11-11,0.25,S02,Passed,On-campus
1000000003,COMP101,Science & Technology,2024,T2,2024-07-09,2024-11-08,0.125,S03,Passed,On-campus
1000000003,TEAC401,Education,2024,FY,2024-02-20,2024-11-10,0.25,S03,Passed,On-campus
1000000004,EDUC101,Education,2024,T2,2024-07-10,2024-11-06,0.125,S02,In Progress,Online
1000000004,COMP301,Science & Technology,2024,T1,2024-02-20,2024-06-12,0.125,S03,Passed,On-campus
1000000005,COMP201,Science & Technology,2024,T1,2024-02-22,2024-06-14,0.125,S03,In Progress,Online
1000000005,EDUC301,Education,2024,T2,2024-07-06,2024-11-09,0.125,S02,Failed,On-campus
1000000005,STAT101,Science & Technology,2024,T1,2024-02-23,2024-06-17,0.125,S02,Withdrew,On-campus
1000000006,MIDW101,Health Sciences,2024,T3,2024-11-14,2024-12-17,0.25,S02,In Progress,Online
1000000006,NURS101,Health Sciences,2024,T2,2024-07-05,2024-11-07,0.25,S09,Passed,On-campus
1000000007,ECON201,Business & Economics,2024,FY,2024-02-18,2024-11-07,0.125,S03,Passed,Blended
1000000007,SOCI101,Arts & Social Sciences,2024,FY,2024-02-21,2024-11-05,0.125,S02,In Progress,On-campus
1000000008,MAOR101,Arts & Social Sciences,2024,T1,2024-02-19,2024-06-14,0.125,S02,In Progress,Online
1000000008,BUS101,Business & Economics,2024,T1,2024-02-20,2024-06-16,0.125,S03,Passed,On-campus
1000000009,SOCI101,Arts & Social Sciences,2024,T1,2024-02-22,2024-06-17,0.125,S03,Passed,Online
1000000009,FDTN001,Foundation Studies,2024,T2,2024-07-10,2024-11-10,0.25,S02,In Progress,Online
1000000009,MBA501,Business & Economics,2024,FY,2024-02-22,2024-11-10,0.25,S13,Withdrew,On-campus
1000000010,ENGL101,Arts & Social Sciences,2024,T1,2024-02-18,2024-06-15,0.125,S03,Passed,On-campus
1000000010,STAT101,Science & Technology,2024,FY,2024-02-23,2024-11-11,0.125,S03,Passed,Blended
1000000010,SOCI101,Arts & Social Sciences,2024,T2,2024-07-09,2024-11-08,0.125,S02,Withdrew,On-campus
1000000010,BUS101,Business & Economics,2024,T2,2024-07-08,2024-11-07,0.125,S03,In Progress,Blended
1000000011,ECON201,Business & Economics,2024,T2,2024-07-08,2024-11-08,0.125,S02,Passed,Online
1000000011,EDUC301,Education,2024,T2,2024-07-07,2024-11-09,0.125,S03,Withdrew,On-campus
1000000012,EDUC101,Education,2024,T2,2024-07-05,2024-11-06,0.125,S05,In Progress,On-campus
1000000012,ENGL101,Arts & Social Sciences,2024,T3,2024-11-13,2024-12-18,0.125,S02,Passed,On-campus
1000000013,BUS201,Business & Economics,2024,T2,2024-07-10,2024-11-05,0.125,S03,Passed,On-campus
1000000013,COMP201,Science & Technology,2024,T1,2024-02-17,2024-06-12,0.125,S03,Failed,Online
1000000013,BUS301,Business & Economics,2024,T1,2024-02-23,2024-06-14,0.125,S03,Passed,On-campus
1000000014,FDTN002,Foundation Studies,2024,T1,2024-02-17,2024-06-15,0.125,S12,Passed,On-campus
1000000014,MIDW101,Health Sciences,2024,T1,2024-02-23,2024-06-11,0.25,S09,Passed,On-campus
